Country,Happiness,Religion,Life satisfaction,Family values,Work importance,Trust people,Trust the press,Unemployment,Against immigration,Population,GDP,Life expectency,Babies per woman,Democracy score,%Budget healthcare
Argentina,81.4,46.3,21.6,90.2,95.6,15,37.3,11.4,9.8,38700000,15200,73.9,2.47,8,15.2
Australia,,,,,,,,,,20100000,34400,79.4,1.82,10,16.5
Chile,79.9,46.3,19.2,96.4,94.3,22.2,47.4,6.6,8,16000000,13800,76.9,2,9,12.9
China,77.8,2.5,14.1,60.2,91.5,52.5,64.3,4.5,9.2,1300000000,3440,69.7,1.55,-7,10.1
Colombia,,,,,,,,,,42700000,8070,73,2.24,7,19.8
Croatia,,,,,,,,,,4440000,14700,73.6,1.37,8,14.1
Estonia,,,,,,,,,,1360000,14300,70.5,1.48,9,11.4
Finland,,,,,,,,,,5230000,33100,77.4,1.8,10,12.3
Hungary,,,,,,,,,,10100000,17100,71.5,1.3,10,11.9
India,72.9,55.8,9.4,91.9,94,38.9,59.7,10.8,30.7,1130000000,2450,62,3.04,9,2.96
Japan,86.5,6.4,4.6,91.3,84.2,39.6,70.2,1.5,3,128000000,33000,80.6,1.3,10,17.6
South Korea,87.7,23.2,8.7,89.6,92.8,27.3,64.9,2.8,4.6,48100000,19200,75.7,1.18,8,10.6
Latvia,,,,,,,,,,2260000,10500,69.9,1.35,8,10.3
Lithuania,,,,,,,,,,3380000,11700,71.8,1.3,10,11.5
Mexico,91,67.7,43.6,96.6,96.2,20.8,39.1,4,16.2,107000000,14500,74.1,2.54,8,17.4
Nigeria,91.8,92.8,12.2,98.9,96.4,25.3,62.8,7.9,3.2,135000000,2770,54.8,6.01,4,7.83
Norway,,,,,,,,,,4590000,56600,78.5,1.83,10,17.8
Pakistan,75.6,81.8,0,92.6,92.9,28.2,45.4,3.7,12.2,151000000,3430,62.5,4.13,-5,2.85
Peru,66.1,52.5,14.7,82.4,97.4,10.6,22.9,11.8,7.7,27300000,6480,74.1,2.73,9,15.4
Poland,,,,,,,,,,38200000,13900,73.1,1.28,10,9.98
Russia,,,,,,,,,,144000000,12700,66.1,1.34,6,11.3
South Africa,77.3,69.7,14.1,95.2,92.6,11.5,61.4,30.5,22.2,48200000,9470,57.6,2.7,9,10.3
Spain,87,21.9,10.2,85.4,89.4,32.7,40,8.6,2.4,42900000,28600,79.1,1.33,10,14.9
Sweden,93.4,10.6,16.3,89.4,90.6,63.7,45.4,4.7,0.5,8990000,35200,79.5,1.77,10,13.7
Switzerland,,,,,,,,,,7390000,48700,79.7,1.42,10,18.4
Turkey,77,80.3,13,97.3,79.3,18.6,34.8,9.8,24.8,67000000,13200,72,2.31,7,10.8
Ukraine,,,,,,,,,,47500000,4480,67.8,1.2,6,9.34
United Kingdom,,,,,,,,,,60000000,31900,77.5,1.72,10,15.1
United States,93,56.9,15.9,95.3,89.4,35.5,26.6,6.4,3.8,293000000,44700,76.8,2.06,10,19.2
Uruguay,,,,,,,,,,3320000,13200,74.4,2.17,10,12.3
