Country,Happiness,Religion,Life satisfaction,Family values,Work importance,Trust people,Trust the press,Unemployment,Against immigration,Population,GDP,Life expectency,Babies per woman,Democracy score,%Budget healthcare
Argentina,81.6,34.9,17.7,86.6,96.7,17.1,32.6,12.2,8.6,36200000,15900,73.1,2.62,7,14.9
Australia,94.3,23.1,14.7,90.2,86.2,39.4,16.6,0,3.1,18700000,33100,78.3,1.77,10,14.5
Chile,79.7,41.8,14.9,88.8,92.1,21.4,51.1,5.4,6.7,14900000,14000,75.4,2.18,8,13.6
China,83.6,3.9,16.5,76.5,91.2,50.4,,2.1,9.6,1240000000,3220,68.4,1.5,-7,12.9
Colombia,84.3,49,37.6,86,98.9,10.7,44.9,11.3,,39200000,8550,72,2.48,7,24.9
Croatia,69.4,25.7,4.8,85.2,90.5,22.8,21.7,9.1,7.9,4500000,15100,72.3,1.49,-5,12.9
Estonia,63.7,7.9,2.5,77.7,91.8,21.1,54.1,7.2,11.4,1390000,14400,67.9,1.32,6,12.2
Finland,91.2,13.3,9.1,80.4,85.9,47.9,30,14.5,7.4,5150000,31800,76.6,1.71,10,10.1
Hungary,77.3,21.5,7.2,89.4,86.7,22.5,30.4,4.8,15.8,10300000,16500,70.2,1.37,10,10.5
India,75.9,48.2,14.3,90.8,97.2,32.8,52.1,7.5,23.7,1020000000,2290,60.8,3.45,9,3.61
Japan,89,6.4,5.2,89.8,87.5,39.8,71.6,0.9,5.9,126000000,33200,79.7,1.35,10,15.8
South Korea,88.8,19.8,,90.1,91.1,30.3,64.6,2.6,8.6,46300000,17400,74.2,1.47,8,8.23
Latvia,68.8,12.2,1.8,67.8,90.5,23.9,49,8.7,13,2410000,10100,66.6,1.18,8,9.28
Lithuania,54.7,13.1,5.9,73.2,89.9,21.3,68.4,11,20.6,3550000,11700,69,1.44,10,11.5
Mexico,69.6,45.4,23.5,74.3,90.5,26.4,51,9.5,7.9,98800000,14300,72.9,2.82,6,15.8
Nigeria,84.3,91.5,15.8,97.5,97.2,16.4,53.8,9,5.7,116000000,2830,54.7,6.16,-1,7.05
Norway,94.3,12.1,16.2,87.8,93.3,64.8,32.4,2,1.7,4430000,55900,77.9,1.81,10,15.5
Pakistan,79.1,80.5,,80.8,92.4,20.4,53.9,1.6,,132000000,3390,62,4.89,7,2.35
Peru,62.9,53.3,14.8,87.4,95.6,4.9,28.4,6.1,11.1,25200000,6480,71.2,3.06,1,14.1
Poland,85.3,46.4,13.9,89.7,93.7,16.9,43.1,,14.2,38700000,13300,71.9,1.48,9,8.71
Russia,50.2,14,4.3,83.7,82.7,23.2,38.6,6.3,17.4,148000000,11900,64.7,1.23,3,13.6
South Africa,72.4,67.8,11.5,93.1,93.1,17.6,48.8,24.6,18.5,44400000,9390,64.3,2.92,9,9.82
Spain,86.5,25.2,8.1,81.8,89.7,28.7,41.7,13.5,4.4,40200000,27500,78.2,1.2,10,12.9
Sweden,93.9,9.5,17.3,90.2,93.8,56.6,28.5,6,0.9,8850000,33700,78.8,1.52,10,11.8
Switzerland,94.3,14.3,25.2,80.9,88.2,37.8,21.8,1.9,4.3,7110000,48100,78.5,1.47,10,15.4
Turkey,88.3,83.3,18.3,96.6,94.7,6.5,47.9,4.3,31.7,61300000,13900,70.9,2.61,7,11.5
Ukraine,45.8,19.1,2.1,85.7,82.7,28.8,40.9,6.6,6.3,50100000,4450,66.6,1.22,7,9.3
United Kingdom,90.6,,20.1,,0,30.4,,5,,58500000,31000,76.6,1.71,10,13.6
United States,93.8,55.9,18.5,95.2,85.7,35,26.8,6.4,8.3,276000000,43200,75.9,2,10,16.8
Uruguay,79.4,22.8,20.5,91.3,94.8,21.6,60.8,6.6,7,3290000,13500,73.5,2.29,10,12.7
